aow_id,aow_name,weapon_id,weapon_name,affinity,weapon_type_name,weapon_type_keys
505,Aeonian Rush,64501000,Backhand Blade,Bestial,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500900,Backhand Blade,Draconic,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500500,Backhand Blade,Dragonkin,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500700,Backhand Blade,Flame,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500400,Backhand Blade,Glint,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500800,Backhand Blade,Golden,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500600,Backhand Blade,Gravity,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500100,Backhand Blade,Heavy,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500200,Backhand Blade,Keen,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500300,Backhand Blade,Quality,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,64500000,Backhand Blade,Standard,Reverse-hand Blade,ReverseHandSword
505,Aeonian Rush,7041000,Bandit's Curved Sword,Bestial,Curved Sword,SaberNormal
505,Aeonian Rush,7040900,Bandit's Curved Sword,Draconic,Curved Sword,SaberNormal
505,Aeonian Rush,7040500,Bandit's Curved Sword,Dragonkin,Curved Sword,SaberNormal
505,Aeonian Rush,7040700,Bandit's Curved Sword,Flame,Curved Sword,SaberNormal
505,Aeonian Rush,7040400,Bandit's Curved Sword,Glint,Curved Sword,SaberNormal
505,Aeonian Rush,7040800,Bandit's Curved Sword,Golden,Curved Sword,SaberNormal
505,Aeonian Rush,7040600,Bandit's Curved Sword,Gravity,Curved Sword,SaberNormal
505,Aeonian Rush,7040100,Bandit's Curved Sword,Heavy,Curved Sword,SaberNormal
505,Aeonian Rush,7040200,Bandit's Curved Sword,Keen,Curved Sword,SaberNormal
505,Aeonian Rush,7040300,Bandit's Curved Sword,Quality,Curved Sword,SaberNormal
505,Aeonian Rush,7040000,Bandit's Curved Sword,Standard,Curved Sword,SaberNormal
505,Aeonian Rush,3001000,Bastard Sword,Bestial,Greatsword,SwordLarge
505,Aeonian Rush,3000900,Bastard Sword,Draconic,Greatsword,SwordLarge
505,Aeonian Rush,3000500,Bastard Sword,Dragonkin,Greatsword,SwordLarge
505,Aeonian Rush,3000700,Bastard Sword,Flame,Greatsword,SwordLarge
505,Aeonian Rush,3000400,Bastard Sword,Glint,Greatsword,SwordLarge
505,Aeonian Rush,3000800,Bastard Sword,Golden,Greatsword,SwordLarge
505,Aeonian Rush,3000600,Bastard Sword,Gravity,Greatsword,SwordLarge
505,Aeonian Rush,3000100,Bastard Sword,Heavy,Greatsword,SwordLarge
505,Aeonian Rush,3000200,Bastard Sword,Keen,Greatsword,SwordLarge
505,Aeonian Rush,3000300,Bastard Sword,Quality,Greatsword,SwordLarge
505,Aeonian Rush,3000000,Bastard Sword,Standard,Greatsword,SwordLarge
505,Aeonian Rush,14001000,Battle Axe,Bestial,Axe,AxeNormal
505,Aeonian Rush,14000900,Battle Axe,Draconic,Axe,AxeNormal
505,Aeonian Rush,14000500,Battle Axe,Dragonkin,Axe,AxeNormal
505,Aeonian Rush,14000700,Battle Axe,Flame,Axe,AxeNormal
505,Aeonian Rush,14000400,Battle Axe,Glint,Axe,AxeNormal
505,Aeonian Rush,14000800,Battle Axe,Golden,Axe,AxeNormal
505,Aeonian Rush,14000600,Battle Axe,Gravity,Axe,AxeNormal
505,Aeonian Rush,14000100,Battle Axe,Heavy,Axe,AxeNormal
505,Aeonian Rush,14000200,Battle Axe,Keen,Axe,AxeNormal
505,Aeonian Rush,14000300,Battle Axe,Quality,Axe,AxeNormal
505,Aeonian Rush,14000000,Battle Axe,Standard,Axe,AxeNormal
505,Aeonian Rush,12021000,Battle Hammer,Bestial,Great Hammer,HammerLarge
505,Aeonian Rush,12020900,Battle Hammer,Draconic,Great Hammer,HammerLarge
505,Aeonian Rush,12020500,Battle Hammer,Dragonkin,Great Hammer,HammerLarge
505,Aeonian Rush,12020700,Battle Hammer,Flame,Great Hammer,HammerLarge
505,Aeonian Rush,12020400,Battle Hammer,Glint,Great Hammer,HammerLarge
505,Aeonian Rush,12020800,Battle Hammer,Golden,Great Hammer,HammerLarge
505,Aeonian Rush,12020600,Battle Hammer,Gravity,Great Hammer,HammerLarge
505,Aeonian Rush,12020100,Battle Hammer,Heavy,Great Hammer,HammerLarge
505,Aeonian Rush,12020200,Battle Hammer,Keen,Great Hammer,HammerLarge
505,Aeonian Rush,12020300,Battle Hammer,Quality,Great Hammer,HammerLarge
505,Aeonian Rush,12020000,Battle Hammer,Standard,Great Hammer,HammerLarge
505,Aeonian Rush,68501000,Beast Claw,Bestial,Beast Claw,BeastClaw
505,Aeonian Rush,68500900,Beast Claw,Draconic,Beast Claw,BeastClaw
505,Aeonian Rush,68500500,Beast Claw,Dragonkin,Beast Claw,BeastClaw
505,Aeonian Rush,68500700,Beast Claw,Flame,Beast Claw,BeastClaw
505,Aeonian Rush,68500400,Beast Claw,Glint,Beast Claw,BeastClaw
