aow_id,name,affinity,weapon_count,sample_weapon_names
505,Aeonian Rush,Bestial,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Draconic,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Dragonkin,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Flame,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Glint,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Golden,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Gravity,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Heavy,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Keen,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Quality,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
505,Aeonian Rush,Standard,127,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
105,Ancient Thunderclap,Bestial,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Draconic,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Dragonkin,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Flame,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Glint,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Golden,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Gravity,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Heavy,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Keen,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Quality,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
105,Ancient Thunderclap,Standard,21,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Gargoyle's Black Blades|Glaive
2001,Aspects of the Crucible: Wings,Bestial,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Draconic,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Dragonkin,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Flame,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Glint,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Golden,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Gravity,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Heavy,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Keen,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Quality,66,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
2001,Aspects of the Crucible: Wings,Standard,67,Bandit's Curved Sword|Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword
602,Assassin's Gambit,Bestial,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Draconic,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Dragonkin,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Flame,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Glint,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Golden,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Gravity,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Heavy,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Keen,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Quality,25,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
602,Assassin's Gambit,Standard,26,Bloodstained Dagger|Broadsword|Cane Sword|Cleanrot Knight's Sword|Dagger
805,Assassin’s Feint,Bestial,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Draconic,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Dragonkin,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Flame,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Glint,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Golden,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Gravity,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Heavy,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Keen,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Quality,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
805,Assassin’s Feint,Standard,32,Bastard Sword|Bloodstained Dagger|Broadsword|Cane Sword|Claymore
650,Barbaric Roar,Bestial,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Draconic,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Dragonkin,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Flame,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Glint,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Golden,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Gravity,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Heavy,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Keen,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Quality,104,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
650,Barbaric Roar,Standard,107,Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer|Beast Claw
301,Barricade Shield,Bestial,1,Dueling Shield
301,Barricade Shield,Draconic,1,Dueling Shield
301,Barricade Shield,Dragonkin,1,Dueling Shield
301,Barricade Shield,Flame,1,Dueling Shield
301,Barricade Shield,Glint,1,Dueling Shield
301,Barricade Shield,Golden,1,Dueling Shield
301,Barricade Shield,Gravity,1,Dueling Shield
301,Barricade Shield,Heavy,1,Dueling Shield
301,Barricade Shield,Keen,1,Dueling Shield
301,Barricade Shield,Quality,1,Dueling Shield
301,Barricade Shield,Standard,1,Dueling Shield
652,Beast's Roar,Bestial,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Draconic,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Dragonkin,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Flame,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Glint,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Golden,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Gravity,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Heavy,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Keen,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Quality,124,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
652,Beast's Roar,Standard,127,Backhand Blade|Bandit's Curved Sword|Bastard Sword|Battle Axe|Battle Hammer
122,Bestial Mauling,Bestial,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Draconic,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Dragonkin,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Flame,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Glint,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Golden,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Gravity,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Heavy,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Keen,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Quality,20,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Glaive|Great Épée
122,Bestial Mauling,Standard,21,Cross-Naginata|Dueling Shield|Gaelor's Mancatcher|Gargoyle's Black Blades|Glaive
221,Black Flame Tornado,Bestial,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Draconic,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Dragonkin,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Flame,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Glint,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Golden,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Gravity,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Heavy,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
221,Black Flame Tornado,Keen,19,Cross-Naginata|Gaelor's Mancatcher|Glaive|Grave Scythe|Halberd
