weapon_id,weapon_name,unique_skill_weapon,sheet_row,aow_id,aow_name,raw_name,variant_weapon_type,skill_family,sequence_variant,hit_kind,hit_order,is_lacking_fp,is_damaging,atk_id,sp_effect_id0,sp_effect_id1,sp_effect_id2,sp_effect_id3,sp_effect_id4,overwrite_attack_element_correct_id,is_disable_both_hands_bonus,is_add_base_atk,is_arrow_attack,physical_attack_attribute,physical_mv,magic_mv,fire_mv,lightning_mv,holy_mv,attack_base_physical,attack_base_magic,attack_base_fire,attack_base_lightning,attack_base_holy,status_mv,weapon_buff_mv,poise_mv,stamina_cost,stamina_cost_mode
1010000,Black Knife,Black Knife,1588,1036,Blade of Death,Blade of Death - Bullet,,Blade of Death,Bullet,bullet,1,0,1,300101900,6903,-1,-1,-1,-1,-1,1,1,0,slash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,39.0,precalculated
1010000,Black Knife,Black Knife,1589,1036,Blade of Death,Blade of Death (Lacking FP),,Blade of Death,base,direct,1,1,1,300101905,6903,-1,-1,-1,-1,-1,1,0,0,slash,140.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,600.0,39.0,precalculated
1040000,Reduvia,Reduvia,1577,1016,Reduvia Blood Blade,Reduvia Blood Blade #1,,Reduvia Blood Blade,#1,direct,1,0,1,300104900,6902,6402,-1,-1,-1,-1,1,0,0,slash,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,55.0,0.0,precalculated
1040000,Reduvia,Reduvia,1578,1016,Reduvia Blood Blade,Reduvia Blood Blade #1 - Bullet,,Reduvia Blood Blade,#1 - Bullet,bullet,1,0,1,300104901,6902,-1,-1,-1,-1,-1,1,0,0,standard,143.0,143.0,143.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.0,precalculated
1040000,Reduvia,Reduvia,1579,1016,Reduvia Blood Blade,Reduvia Blood Blade #2,,Reduvia Blood Blade,#2,direct,2,0,1,300104905,6902,6402,-1,-1,-1,-1,1,0,0,slash,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,55.0,0.0,precalculated
1040000,Reduvia,Reduvia,1580,1016,Reduvia Blood Blade,Reduvia Blood Blade #2 - Bullet,,Reduvia Blood Blade,#2 - Bullet,bullet,2,0,1,300104906,6902,-1,-1,-1,-1,-1,1,0,0,standard,143.0,143.0,143.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.0,precalculated
1040000,Reduvia,Reduvia,1581,1016,Reduvia Blood Blade,Reduvia Blood Blade #3,,Reduvia Blood Blade,#3,direct,3,0,1,300104910,6902,6402,-1,-1,-1,-1,1,0,0,slash,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,55.0,0.0,precalculated
1040000,Reduvia,Reduvia,1582,1016,Reduvia Blood Blade,Reduvia Blood Blade #3 - Bullet,,Reduvia Blood Blade,#3 - Bullet,bullet,3,0,1,300104911,6902,-1,-1,-1,-1,-1,1,0,0,standard,143.0,143.0,143.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.0,precalculated
1040000,Reduvia,Reduvia,1583,1016,Reduvia Blood Blade,Reduvia Blood Blade #1 (Lacking FP),,Reduvia Blood Blade,#1,direct,1,1,1,300104902,6902,-1,-1,-1,-1,-1,1,0,0,slash,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,22.0,precalculated
1040000,Reduvia,Reduvia,1584,1016,Reduvia Blood Blade,Reduvia Blood Blade #2 (Lacking FP),,Reduvia Blood Blade,#2,direct,2,1,1,300104907,6902,-1,-1,-1,-1,-1,1,0,0,slash,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,22.0,precalculated
