curve_id,stat_value,multiplier
0,0,0
0,1,0
0,2,0.00834452
0,3,0.01917067
0,4,0.03118508
0,5,0.04404263
0,6,0.0575659
0,7,0.07164449
0,8,0.08620232
0,9,0.1011834
0,10,0.11654464
0,11,0.13225171
0,12,0.14827657
0,13,0.16459582
0,14,0.18118962
0,15,0.19804092
0,16,0.21513487
0,17,0.23245842
0,18,0.25
0,19,0.26425148
0,20,0.27843361
0,21,0.29254499
0,22,0.30658419
0,23,0.32054969
0,24,0.33443989
0,25,0.34825312
0,26,0.36198764
0,27,0.3756416
0,28,0.38921304
0,29,0.40269992
0,30,0.41610004
0,31,0.42941112
0,32,0.4426307
0,33,0.45575616
0,34,0.46878475
0,35,0.48171347
0,36,0.49453915
0,37,0.50725837
0,38,0.51986744
0,39,0.53236236
0,40,0.54473881
0,41,0.55699206
0,42,0.56911695
0,43,0.58110781
0,44,0.59295836
0,45,0.6046616
0,46,0.61620974
0,47,0.62759395
0,48,0.63880421
0,49,0.64982898
0,50,0.66065488
0,51,0.67126608
0,52,0.68164365
0,53,0.69176441
0,54,0.70159922
0,55,0.71111028
0,56,0.72024617
0,57,0.72893234
0,58,0.73704889
0,59,0.7443627
0,60,0.75
0,61,0.7575
0,62,0.765
0,63,0.7725
0,64,0.78
0,65,0.7875
0,66,0.795
0,67,0.8025
0,68,0.81
0,69,0.8175
0,70,0.825
0,71,0.8325
0,72,0.84
0,73,0.8475
0,74,0.855
0,75,0.8625
0,76,0.87
0,77,0.8775
0,78,0.885
0,79,0.8925
0,80,0.9
0,81,0.90285714
0,82,0.90571429
0,83,0.90857143
0,84,0.91142857
0,85,0.91428571
0,86,0.91714286
0,87,0.92
0,88,0.92285714
0,89,0.92571429
0,90,0.92857143
0,91,0.93142857
0,92,0.93428571
0,93,0.93714286
0,94,0.94
0,95,0.94285714
0,96,0.94571429
0,97,0.94857143
0,98,0.95142857
0,99,0.95428571
1,0,0
1,1,0
1,2,0.01022266
1,3,0.02348549
1,4,0.03820403
1,5,0.0539555
1,6,0.0705225
1,7,0.08776982
1,8,0.10560424
1,9,0.12395719
1,10,0.14277584
1,11,0.16201817
1,12,0.18164981
1,13,0.2016421
1,14,0.22197075
1,15,0.24261484
1,16,0.2635562
1,17,0.28477883
1,18,0.30626857
1,19,0.32801275
1,20,0.35
1,21,0.3619698
1,22,0.37387836
1,23,0.38572441
1,24,0.39750659
1,25,0.40922349
1,26,0.42087361
1,27,0.4324554
1,28,0.4439672
1,29,0.45540726
1,30,0.46677375
1,31,0.47806469
1,32,0.48927802
1,33,0.50041153
1,34,0.51146285
1,35,0.52242947
1,36,0.53330869
1,37,0.5440976
1,38,0.55479308
1,39,0.56539173
1,40,0.57588989
1,41,0.58628355
1,42,0.59656833
1,43,0.60673942
1,44,0.61679149
1,45,0.62671861
1,46,0.63651417
1,47,0.64617068
1,48,0.65567963
1,49,0.66503125
1,50,0.67421417
1,51,0.68321499
1,52,0.69201763
1,53,0.70060242
1,54,0.70894467
1,55,0.7170123
1,56,0.72476171
1,57,0.73212963
1,58,0.73901439
1,59,0.74521824
1,60,0.75
1,61,0.7575
1,62,0.765
1,63,0.7725
1,64,0.78
1,65,0.7875
1,66,0.795
1,67,0.8025
1,68,0.81
1,69,0.8175
1,70,0.825
1,71,0.8325
1,72,0.84
1,73,0.8475
1,74,0.855
1,75,0.8625
1,76,0.87
1,77,0.8775
1,78,0.885
1,79,0.8925
1,80,0.9
1,81,0.90285714
1,82,0.90571429
1,83,0.90857143
1,84,0.91142857
1,85,0.91428571
1,86,0.91714286
1,87,0.92
1,88,0.92285714
1,89,0.92571429
1,90,0.92857143
1,91,0.93142857
1,92,0.93428571
1,93,0.93714286
1,94,0.94
1,95,0.94285714
1,96,0.94571429
1,97,0.94857143
1,98,0.95142857
1,99,0.95428571
2,0,0
2,1,0
2,2,0.01022266
2,3,0.02348549
2,4,0.03820403
2,5,0.0539555
2,6,0.0705225
2,7,0.08776982
2,8,0.10560424
2,9,0.12395719
2,10,0.14277584
2,11,0.16201817
2,12,0.18164981
2,13,0.2016421
2,14,0.22197075
2,15,0.24261484
2,16,0.2635562
2,17,0.28477883
2,18,0.30626857
2,19,0.32801275
2,20,0.35
2,21,0.3619698
2,22,0.37387836
2,23,0.38572441
2,24,0.39750659
2,25,0.40922349
2,26,0.42087361
2,27,0.4324554
2,28,0.4439672
2,29,0.45540726
2,30,0.46677375
2,31,0.47806469
2,32,0.48927802
2,33,0.50041153
2,34,0.51146285
2,35,0.52242947
2,36,0.53330869
2,37,0.5440976
2,38,0.55479308
2,39,0.56539173
2,40,0.57588989
2,41,0.58628355
2,42,0.59656833
2,43,0.60673942
2,44,0.61679149
2,45,0.62671861
2,46,0.63651417
2,47,0.64617068
2,48,0.65567963
2,49,0.66503125
2,50,0.67421417
2,51,0.68321499
2,52,0.69201763
2,53,0.70060242
2,54,0.70894467
2,55,0.7170123
2,56,0.72476171
2,57,0.73212963
2,58,0.73901439
2,59,0.74521824
2,60,0.75
2,61,0.7575
2,62,0.765
2,63,0.7725
2,64,0.78
2,65,0.7875
2,66,0.795
2,67,0.8025
2,68,0.81
2,69,0.8175
2,70,0.825
2,71,0.8325
2,72,0.84
2,73,0.8475
2,74,0.855
2,75,0.8625
2,76,0.87
2,77,0.8775
2,78,0.885
2,79,0.8925
2,80,0.9
2,81,0.90285714
2,82,0.90571429
2,83,0.90857143
2,84,0.91142857
2,85,0.91428571
2,86,0.91714286
2,87,0.92
2,88,0.92285714
2,89,0.92571429
2,90,0.92857143
2,91,0.93142857
2,92,0.93428571
2,93,0.93714286
2,94,0.94
2,95,0.94285714
2,96,0.94571429
2,97,0.94857143
2,98,0.95142857
2,99,0.95428571
3,0,0
3,1,0
3,2,0.01578947
3,3,0.03157895
3,4,0.04736842
3,5,0.06315789
3,6,0.07894737
3,7,0.09473684
3,8,0.11052632
3,9,0.12631579
3,10,0.14210526
3,11,0.15789474
3,12,0.17368421
3,13,0.18947368
3,14,0.20526316
3,15,0.22105263
3,16,0.23684211
3,17,0.25263158
3,18,0.26842105
3,19,0.28421053
3,20,0.3
3,21,0.332
3,22,0.364
3,23,0.396
3,24,0.428
3,25,0.46
3,26,0.492
3,27,0.524
3,28,0.556
3,29,0.588
3,30,0.62
3,31,0.63
3,32,0.64
3,33,0.65
3,34,0.66
3,35,0.67
3,36,0.68
3,37,0.69
3,38,0.7
3,39,0.71
3,40,0.72
3,41,0.73
3,42,0.74
3,43,0.75
3,44,0.76
3,45,0.77
3,46,0.78
3,47,0.79
3,48,0.8
3,49,0.81
3,50,0.82
3,51,0.82367347
3,52,0.82734694
3,53,0.83102041
3,54,0.83469388
3,55,0.83836735
3,56,0.84204082
3,57,0.84571429
3,58,0.84938776
3,59,0.85306122
3,60,0.85673469
3,61,0.86040816
3,62,0.86408163
3,63,0.8677551
3,64,0.87142857
3,65,0.87510204
3,66,0.87877551
3,67,0.88244898
3,68,0.88612245
3,69,0.88979592
3,70,0.89346939
3,71,0.89714286
3,72,0.90081633
3,73,0.9044898
3,74,0.90816327
3,75,0.91183673
3,76,0.9155102
3,77,0.91918367
3,78,0.92285714
3,79,0.92653061
3,80,0.93020408
3,81,0.93387755
3,82,0.93755102
3,83,0.94122449
3,84,0.94489796
3,85,0.94857143
3,86,0.9522449
3,87,0.95591837
3,88,0.95959184
3,89,0.96326531
3,90,0.96693878
3,91,0.97061224
3,92,0.97428571
