weapon_id,name,affinity,level,effect_ids,bleed,frost,poison,scarlet_rot,sleep,madness,death,bleed_uses_status_correction,frost_uses_status_correction,poison_uses_status_correction,scarlet_rot_uses_status_correction,sleep_uses_status_correction,madness_uses_status_correction,death_uses_status_correction
31041100,Albinauric Shield,Blood,0,105000,57,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,1,105001,58,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,2,105002,59,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,3,105003,60,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,4,105004,61,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,5,105005,62,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,6,105006,63,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,7,105007,64,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,8,105008,65,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,9,105009,66,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,10,105010,67,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,11,105011,68,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,12,105012,69,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,13,105013,70,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,14,105014,71,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,15,105015,72,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,16,105016,73,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,17,105017,74,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,18,105018,75,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,19,105019,76,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,20,105020,77,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,21,105021,78,0,0,0,0,0,0,1,,,,,,
31041100,Albinauric Shield,Blood,22,105022,79,0,0,0,0,0,0,1,,,,,,
