aow_id,sheet_row,atk_id,atk_effect_count,bullet_source_count,effect_record_count,supported_target_effect_count,status,reason
100,63,300300820,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
100,64,300300821,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,946,300000010,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,947,300000011,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1142,600000830,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1143,600000831,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1144,600000832,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1145,600000836,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1146,600000833,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1147,600000834,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1148,600000835,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1149,600000837,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1844,300000010,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
101,1845,300000011,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
102,958,300000050,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
102,959,300000051,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,880,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,881,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,882,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,883,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,884,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,885,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,886,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,887,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,888,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,889,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,890,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,891,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,892,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,893,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,894,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,895,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,896,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,897,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,898,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,899,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,900,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,901,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,902,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,903,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,904,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,905,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,906,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,907,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,908,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,909,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,910,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,911,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,912,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,913,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,914,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,915,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,916,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,917,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,918,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,919,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,920,300000226,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,921,300000227,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,922,300000220,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,923,300000221,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,924,300000222,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
103,925,300000225,1,0,1,0,resolved,numeric AtkParam/Bullet/SpEffect graph resolved
