aow_id,aow_name,sheet_row,route_id,route_label,route_priority,action_id,action_order,hit_order
100,Lion's Claw,63,full,Full sequence,0,activation,1,1
101,Impaling Thrust,946,r1,R1,0,activation,1,1
101,Impaling Thrust,1852,r1,R1,0,activation,1,1
101,Impaling Thrust,1142,r1,R1,0,r1,2,1
101,Impaling Thrust,1143,r1,R1,0,r1,2,2
101,Impaling Thrust,1144,r1,R1,0,r1,2,3
101,Impaling Thrust,946,r2,R2,1,activation,1,1
101,Impaling Thrust,1852,r2,R2,1,activation,1,1
101,Impaling Thrust,1145,r2,R2,1,r2,2,2
102,Piercing Fang,958,full,Full sequence,0,activation,1,1
103,Spinning Slash,880,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,886,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,892,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,898,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,904,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,910,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,916,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,922,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,928,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,934,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,940,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,2473,full,Full sequence,0,stage_1,1,1
103,Spinning Slash,881,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,887,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,893,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,899,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,905,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,911,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,917,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,923,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,929,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,935,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,941,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,2474,full,Full sequence,0,stage_2,2,1
103,Spinning Slash,882,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,888,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,894,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,900,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,906,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,912,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,918,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,924,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,930,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,936,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,942,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,2475,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,2476,full,Full sequence,0,stage_2,2,2
103,Spinning Slash,2477,full,Full sequence,0,stage_2,2,2
105,Charge Forth,1150,full,Full,0,activation,1,1
105,Charge Forth,1151,full,Full,0,activation,1,2
105,Charge Forth,1152,full,Full,0,activation,1,3
105,Charge Forth,1153,full,Full,0,activation,1,4
105,Charge Forth,1154,full,Full,0,activation,1,5
105,Charge Forth,1155,early_release,Early Release,1,early_release,1,1
105,Charge Forth,1156,early_release,Early Release,1,early_release,1,2
106,Stamp (Upward Cut),2,full,Full sequence,0,activation,1,1
107,Stamp (Sweep),4,full,Full sequence,0,activation,1,1
107,Stamp (Sweep),5,full,Full sequence,0,activation,1,2
108,Blood Tax,1464,full,Full sequence,0,activation,1,1
108,Blood Tax,1472,full,Full sequence,0,activation,1,1
108,Blood Tax,1465,full,Full sequence,0,activation,1,2
108,Blood Tax,1473,full,Full sequence,0,activation,1,2
108,Blood Tax,1466,full,Full sequence,0,activation,1,3
108,Blood Tax,1474,full,Full sequence,0,activation,1,3
108,Blood Tax,1467,full,Full sequence,0,activation,1,4
108,Blood Tax,1475,full,Full sequence,0,activation,1,4
109,Repeating Thrust,960,full,Full sequence,0,activation,1,1
109,Repeating Thrust,968,full,Full sequence,0,activation,1,1
109,Repeating Thrust,961,full,Full sequence,0,activation,1,2
109,Repeating Thrust,969,full,Full sequence,0,activation,1,2
109,Repeating Thrust,962,full,Full sequence,0,activation,1,3
109,Repeating Thrust,970,full,Full sequence,0,activation,1,3
109,Repeating Thrust,963,full,Full sequence,0,activation,1,4
109,Repeating Thrust,971,full,Full sequence,0,activation,1,4
110,Wild Strikes,8,r1,R1,0,loop_1,1,1
110,Wild Strikes,19,r1,R1,0,loop_1,1,1
110,Wild Strikes,30,r1,R1,0,loop_1,1,1
110,Wild Strikes,41,r1,R1,0,loop_1,1,1
110,Wild Strikes,52,r1,R1,0,loop_1,1,1
110,Wild Strikes,9,r1,R1,0,loop_2,2,2
110,Wild Strikes,20,r1,R1,0,loop_2,2,2
110,Wild Strikes,31,r1,R1,0,loop_2,2,2
110,Wild Strikes,42,r1,R1,0,loop_2,2,2
110,Wild Strikes,53,r1,R1,0,loop_2,2,2
110,Wild Strikes,10,r1,R1,0,r1,3,1
110,Wild Strikes,21,r1,R1,0,r1,3,1
110,Wild Strikes,32,r1,R1,0,r1,3,1
110,Wild Strikes,43,r1,R1,0,r1,3,1
110,Wild Strikes,54,r1,R1,0,r1,3,1
110,Wild Strikes,11,r1,R1,0,r1,3,2
110,Wild Strikes,22,r1,R1,0,r1,3,2
110,Wild Strikes,33,r1,R1,0,r1,3,2
110,Wild Strikes,44,r1,R1,0,r1,3,2
110,Wild Strikes,55,r1,R1,0,r1,3,2
110,Wild Strikes,8,r2,R2,1,loop_1,1,1
110,Wild Strikes,19,r2,R2,1,loop_1,1,1
110,Wild Strikes,30,r2,R2,1,loop_1,1,1
110,Wild Strikes,41,r2,R2,1,loop_1,1,1
110,Wild Strikes,52,r2,R2,1,loop_1,1,1
110,Wild Strikes,9,r2,R2,1,loop_2,2,2
110,Wild Strikes,20,r2,R2,1,loop_2,2,2
110,Wild Strikes,31,r2,R2,1,loop_2,2,2
110,Wild Strikes,42,r2,R2,1,loop_2,2,2
110,Wild Strikes,53,r2,R2,1,loop_2,2,2
110,Wild Strikes,12,r2,R2,1,r2,3,1
110,Wild Strikes,23,r2,R2,1,r2,3,1
110,Wild Strikes,34,r2,R2,1,r2,3,1
110,Wild Strikes,45,r2,R2,1,r2,3,1
110,Wild Strikes,56,r2,R2,1,r2,3,1
110,Wild Strikes,13,r2,R2,1,r2,3,2
110,Wild Strikes,24,r2,R2,1,r2,3,2
110,Wild Strikes,35,r2,R2,1,r2,3,2
110,Wild Strikes,46,r2,R2,1,r2,3,2
110,Wild Strikes,57,r2,R2,1,r2,3,2
